Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,Age_Is_Missing,Customer_Profile_Cluster,Price_Policy_Interaction,Make_Freq,Price_Policy_Interaction_Freq,Risk_Score,Action,Red_Flags
7,4,0,9,1,1,8,4,0,1,39,0,0,0,0,11,400,1,3,2,3,5,5,0,0,0,3,3,0,1994,0,0,4,0,0.15265888456549936,0.1340466926070039,51.07,🚨 INVESTIGATE,Policy Holder at Fault
4,3,3,0,1,2,5,5,1,2,45,0,6,2,5,4,400,3,3,2,3,5,5,0,0,0,3,3,0,1994,0,0,4,15,0.03060959792477302,0.05252918287937743,49.79,🚨 INVESTIGATE,Policy Holder at Fault
4,3,2,9,1,7,4,1,1,1,35,0,0,0,0,9,400,1,3,2,0,5,4,0,0,0,1,3,0,1995,0,0,4,0,0.15265888456549936,0.1340466926070039,49.68,🚨 INVESTIGATE,Policy Holder at Fault
5,5,0,0,1,1,2,2,1,1,37,0,0,0,5,16,400,4,3,2,1,5,5,0,0,0,1,3,0,1994,0,0,4,15,0.03060959792477302,0.05252918287937743,49.34,🚨 INVESTIGATE,Policy Holder at Fault
8,5,2,13,1,2,9,5,1,1,46,0,0,0,0,8,400,4,3,2,1,6,6,0,0,0,1,3,0,1994,0,0,4,0,0.24883268482490273,0.1340466926070039,48.49,🚨 INVESTIGATE,Policy Holder at Fault
5,1,2,15,1,2,6,2,1,1,29,0,0,0,1,15,400,2,3,2,1,5,4,0,0,0,3,3,0,1995,0,0,0,3,0.007003891050583658,0.04345006485084306,46.35,🚨 INVESTIGATE,Policy Holder at Fault
7,4,0,9,1,2,8,5,1,1,51,0,0,0,1,1,400,1,3,2,1,6,6,0,0,0,2,3,0,1995,0,0,3,3,0.15265888456549936,0.04345006485084306,41.97,🚨 INVESTIGATE,Policy Holder at Fault
8,1,0,2,1,1,9,3,0,1,63,0,0,0,5,4,400,4,3,2,3,3,7,0,0,0,3,3,0,1994,0,0,3,15,0.10901426718547341,0.05252918287937743,40.97,🚨 INVESTIGATE,Policy Holder at Fault
2,1,4,6,1,7,3,4,0,1,50,0,1,0,1,8,400,2,3,2,3,4,6,0,0,0,3,3,0,1994,1,0,4,4,0.18164721141374837,0.08988326848249027,40.56,🚨 INVESTIGATE,Policy Holder at Fault
4,3,2,9,1,6,5,3,1,1,40,0,1,0,1,2,400,1,3,2,1,5,5,0,0,0,3,3,0,1996,1,0,4,4,0.15265888456549936,0.08988326848249027,39.01,🚨 INVESTIGATE,Policy Holder at Fault
